Unnamed: 0,2025-10-01 00:00:00,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,Sl No,Vendor,Service,Payment frequency,Annual commitment,Monthly Average,"Actual 
expense",HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,LSGB,HR REVENUE,,,,,,,,,,,,,,,,,
,7,Dr Anandam,House Rent,Monthly,1800000,150000,119100,7200,6607,6250,57853.83,0,15000,9000,,,,17189.17,,,,0,0,0,0,0,0,0,6923,0,0,7500,0,104677,,
,8,BSNL,Land Line,Monthly,24000,2000,1979,0,0,0,0,0,0,0,0,0,0,1979,,,,0,0,0,0,0,0,0,0,0,0,0,1977,0,,
,9,KSEB,Electricity Bill,Monthly,264000,22000,19161,0,0,0,0,0,0,0,0,0,0,7272,11889,,,,,,,,,,,,,,,,,
,10,KWA,Water Bill,Monthly,96000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Subramania Industries,DG AMC,Half Yearly,10000,833.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,Imprest,Monthly Imprest,Monthly,120000,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,Geejey Solutions,Epabx AMC,Half Yearly,8000,666.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,VRS infosystems,Tally Software Renewal,Annualy,16000,1333.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,M/sArmtech Computer Services,CAMC computer hardware,Quarterly,15000,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
