Sl No,HMA HR REVENUE,2024-04-25 00:00:00,2025-04-25 00:00:00,2024-05-25 00:00:00,2025-05-25 00:00:00,2024-06-25 00:00:00,2025-06-25 00:00:00,2024-07-01 00:00:00,2025-07-01 00:00:00,2024-08-01 00:00:00,2025-08-01 00:00:00,2024-09-01 00:00:00,2025-09-01 00:00:00,2024-10-01 00:00:00,2025-10-01 00:00:00,2024-11-01 00:00:00,2025-11-01 00:00:00,2024-12-01 00:00:00,2025-12-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-02-01 00:00:00,2026-02-01 00:00:00,2025-03-01 00:00:00,2026-03-01 00:00:00
1,INTERNSHIP/ST INT,37760.0,131230.0,141600.0,234230.0,24190.0,187620.0,129210.0,60000.0,51520.0,30680.0,,0.0,,7670.0,129710.0,,10,,,,100300.0,,255613,
2,TRAINING,23319.0,258703.0,38513.0,,133955.0,60386.0,23107.0,0.0,96659.0,,52380.0,0.0,23850.0,0.0,,,534598,,18711.0,,170190.0,,296964,
3,RECRUITMENT,1928773.0,263698.0,,19435.0,,161264.0,,,,393088.0,,0.0,2014000.0,4219.0,,,3370919,,,,,,2706784,
4,HALL RENT,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
Total,,1989852.0,653631.0,180113.0,253665.0,158145.0,409270.0,152317.0,60000.0,148179.0,423768.0,52380.0,0.0,2037850.0,11889.0,129710.0,0.0,3905527,0.0,18711.0,0.0,270490.0,0.0,3259361,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,KSBCDC-3370919,,,,,,KSBCDC-2528189,
